0	[390, 474, 347, 477, 478, 479, 480, 352, 483, 355, 293, 296, 299, 300, 495, 496, 497, 371, 500, 372, 502, 376, 377, 505, 381, 383]
1	[2, 3, 5, 6, 7, 8, 265, 9, 266, 267, 11, 268, 12, 270, 271, 272, 145, 273, 274, 18, 275, 148, 276, 277, 278, 279, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 294, 295, 42, 298, 47, 53, 64, 65, 67, 73, 74, 75, 76, 82, 83, 88, 89, 90, 94, 98, 100, 101, 499, 246]
2	[320, 321, 418, 322, 451, 452, 421, 102, 103, 391, 423, 297, 395, 303, 402, 403, 404, 309, 407, 312, 313, 314, 443]
3	[448, 385, 386, 450, 453, 454, 455, 393, 459, 460, 461, 462, 463, 464, 466, 467, 468, 405, 406, 409, 410, 411, 475, 476, 413, 414, 415, 416, 481, 419, 420, 424, 426, 429, 430, 431, 432, 433, 434, 437, 380, 444]
4	[128, 256, 257, 258, 259, 260, 133, 261, 262, 150, 151, 153, 26, 28, 157, 34, 35, 164, 176, 304, 305, 306, 307, 310, 185, 186, 187, 315, 188, 189, 317, 190, 318, 191, 319, 196, 197, 198, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 218, 219, 220, 221, 222, 96, 224, 225, 227, 228, 229, 231, 104, 232, 105, 106, 234, 107, 108, 236, 109, 237, 110, 240, 115, 244, 116, 245, 117, 118, 119, 120, 121, 122, 251, 123, 252, 253, 254, 126, 127]
5	[449, 323, 422, 330, 394, 331, 493, 397, 301, 302, 336, 400, 337, 401, 340, 308, 341, 342, 343, 311]
6	[482, 456, 457, 458, 427, 492, 428, 399, 465, 436, 469, 438, 470, 439, 440, 408, 412, 445, 446, 447]
7	[1, 4, 10, 269, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 280, 24, 25, 27, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 316, 60, 61, 62, 63, 66, 68, 69, 70, 71, 72, 77, 78, 79, 80, 81, 84, 85, 86, 87, 91, 92, 93, 95, 97, 99, 111, 112, 113, 114, 124, 125, 129, 130, 131, 132, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 146, 147, 149, 152, 154, 155, 156, 158, 159, 160, 417, 161, 162, 163, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 177, 178, 179, 180, 181, 182, 183, 184, 192, 193, 194, 195, 199, 211, 212, 213, 214, 215, 216, 217, 223, 226, 230, 233, 235, 238, 239, 241, 242, 243, 247, 248, 249, 250, 255]
8	[384, 387, 388, 389, 351, 353, 354, 356, 484, 357, 485, 358, 486, 359, 487, 360, 488, 489, 490, 364, 365, 366, 367, 369, 370, 373, 374, 507, 382]
9	[512, 513, 263, 392, 494, 498, 503, 344, 345, 506, 346, 508, 349, 510, 511]
10	[324, 325, 326, 327, 328, 329, 332, 396, 333, 334, 398, 335, 338, 339]
11	[471, 472, 473, 442, 491]
12	[368, 435, 375, 361, 441, 425, 362, 378, 379]
13	[363]
14	[514, 515, 516, 501, 517, 264, 504, 348, 509, 350]
